71	91
-82	-90
24	-64
-45	-91
-80	20
-15	1
33	60
80	53
36	-50
61	-74
77	-3
-62	-9
4	-51
53	11
-2	86
-37	35
81	83
78	-28
89	2
76	92
17	-27
-60	27
57	76
-40	-65
-6	15
-9	23
-70	-2
-5	85
-37	-94
8	6
-46	-39
-53	-64
58	74
53	64
-34	84
75	-13
96	-96
44	-75
-89	42
92	48
64	-50
99	-74
29	74
-39	40
-69	-74
1	-8
54	40
-5	-21
-17	90
59	-34
54	-69
82	65
29	-90
84	-81
-1	2
-56	79
79	-69
-22	95
-48	-1
-32	-85
-76	-8
-55	59
-99	32
-8	-65
75	0
-40	-76
-57	25
-77	-99
-25	59
41	74
-10	-59
-61	52
18	79
92	-35
90	-45
-64	67
74	36
71	33
2	-49
47	-99
37	64
81	-43
-46	18
61	-23
-16	-93
-31	-1
-28	-88
-31	-1
67	20
-14	21
67	-80
37	25
-32	-53
98	13
-39	58
30	16
-64	-54
-75	98
-79	28
-68	-93
